NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS
COMMUNITY HEALTHCARE-SBSTNC ABUSE SVCS,628 CENTER ST,CHICOPEE,MA,01013,1589,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
STEFANIK MEMORIAL SCHOOL,720 MEADOW ST,CHICOPEE,MA,01013,1801,25013,HAMPDEN,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
WILLIMANSETT NURSING HOME CENTER EAST,11 SAINT ANTHONY ST,CHICOPEE,MA,01013,2141,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,82,,,
OUR LADY OF THE ELMS COLLEGE,291 SPRINGFIELD ST,CHICOPEE,MA,01013,2837,25013,HAMPDEN,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,RELIGIOUS,501 TO 1000,,,,
CHICOPEE SENIOR CENTER,7 VALLEY VIEW CT,CHICOPEE,MA,01020,1132,25013,HAMPDEN,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LAMBERT-LAVOIE MEMORIAL SCHOOL,91 KENDALL ST,CHICOPEE,MA,01020,1601,25013,HAMPDEN,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
CHICOPEE PUBLIC SCHOOL DISTRICT,180 BROADWAY ST,CHICOPEE,MA,01020,2638,25013,HAMPDEN,1122,SCHOOL DISTRICTS,1000+,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,
THE ARBORS KIDS CHILDCARE,999 MEMORIAL DR,CHICOPEE,MA,01020,2978,25013,HAMPDEN,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
BIRCH MANOR REHAB-SKILLED NURSING CENTER,44 NEW LOMBARD RD,CHICOPEE,MA,01020,4857,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,65,,,
WESTOVER JOB CORPS RESIDENTIAL PROGRAM,103 JOHNSON RD,CHICOPEE,MA,01022,1063,25013,HAMPDEN,,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,51 TO 100,,PREMIER,,
BOWIE MEMORIAL SCHOOL,80 DARE WAY,CHICOPEE,MA,01022,1038,25013,HAMPDEN,,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,
THE ACADEMY AT SWIFT RIVER RSDNTL TRTMNT,151 SOUTH ST,CUMMINGTON,MA,01026,9501,25015,HAMPSHIRE,8000,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NORTHEAST CENTER FOR YOUTH AND FAMILIES,203 EAST ST,EASTHAMPTON,MA,01027,1234,25015,HAMPSHIRE,8000,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SUPERVISORY UNION 66,19 STAGE RD,WESTHAMPTON,MA,01027,9655,25015,HAMPSHIRE,8000,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,1001 TO 2000,,,,
EAST LONGMEADOW COUNCIL ON AGING SR CTR,328 N MAIN ST,EAST LONGMEADOW,MA,01028,1813,25013,HAMPDEN,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
EAST LONGMEADOW SKILLED NURSING CTR,305 MAPLE ST,EAST LONGMEADOW,MA,01028,2765,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,113,PREMIER,,
REDSTONE REHAB AND NURSING CENTER,135 BENTON DR,EAST LONGMEADOW,MA,01028,3117,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,216,PREMIER,,
AGAWAM COUNSELING CENTER-SBSTNC ABUSE,PO BOX 84,FEEDING HILLS,MA,01030,0084,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
AGAWAM PUBLIC SCHOOL DISTRICT,1305 SPRINGFIELD ST,FEEDING HILLS,MA,01030,2180,25013,HAMPDEN,1122,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
GRANBY PUBLIC SCHOOL DISTRICT,387 E STATE ST,GRANBY,MA,01033,9601,25015,HAMPSHIRE,8000,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
SUNBRIDGE CARE AND REHAB-HADLEY,PO BOX 720,HADLEY,MA,01035,0720,25015,HAMPSHIRE,8000,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,152,,,
HAMPDEN SENIOR CENTER,104 ALLEN ST,HAMPDEN,MA,01036,9516,25013,HAMPDEN,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HOLYOKE COMMUNITY COLLEGE,303 HOMESTEAD AVE,HOLYOKE,MA,01040,1091,25013,HAMPDEN,1122,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,,,,
HOLYOKE SOLDIERS HOME,110 CHERRY ST,HOLYOKE,MA,01040,7002,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,250,PREMIER,,
HOLYOKE REHABILITATION CENTER,260 EASTHAMPTON RD,HOLYOKE,MA,01040,1213,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,157,PREMIER,,
LOOMIS HOUSE NURSING RETIREMENT CENTER,298 JARVIS AVE,HOLYOKE,MA,01040,1288,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,>2000,87,,,
HOLYOKE HOSPITAL TRANSITIONAL CARE CTR,575 BEECH ST,HOLYOKE,MA,01040,2223,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25,,,
HOLYOKE MEDICAL CENTER,575 BEECH ST,HOLYOKE,MA,01040,2223,25013,HAMPDEN,1122,HOSPITALS,751-999,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,75.7,HPPI-HealthCare Purchasing Partners International,Amerinet Inc,"27,647"
MONT MARIE HEALTH CARE CENTER INC,34 LOWER WESTFIELD RD,HOLYOKE,MA,01040,2749,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,84,,,
MOUNT SAINT VINCENT NURSING HOME,35 HOLY FAMILY RD,HOLYOKE,MA,01040,2701,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,122,,,
RENAISSANCE MANOR ON CABOT,279 CABOT ST,HOLYOKE,MA,01040,3139,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,32,,,
GANDARA RESIDENTIAL SVC WOMEN-AODA SVCS,507 APPLETON ST,HOLYOKE,MA,01040,3210,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HOLYOKE CNCL ON AGING SENIOR CTR,310 APPLETON ST,HOLYOKE,MA,01040,4907,25013,HAMPDEN,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HOLYOKE CITY SCHOOL DISTRICT,57 SUFFOLK ST,HOLYOKE,MA,01040,5015,25013,HAMPDEN,1122,SCHOOL DISTRICTS,1000+,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,
MSPCC FAMILY COUNSELING CTR,113 HAMPDEN ST,HOLYOKE,MA,01040,5105,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SISTERS OF PROVIDENCE-SNF,1233 MAIN ST,HOLYOKE,MA,01040,5381,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25,,,
PROVIDENCE BEHAVIORAL HEALTH,1233 MAIN ST,HOLYOKE,MA,01040,5381,25013,HAMPDEN,1122,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
BOYS AND GIRLS CLUB AFTER SCHOOL,PO BOX 6256,HOLYOKE,MA,01041,6256,25013,HAMPDEN,,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
GATEWAY REGIONAL SCHOOL DISTRICT,12 LITTLEVILLE RD,HUNTINGTON,MA,01050,9761,25015,HAMPSHIRE,8000,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,1001 TO 2000,,,,
HAMPSHIRE CARE,PO BOX 313,LEEDS,MA,01053,0313,25015,HAMPSHIRE,8000,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,91,,,
LEEDS ELEMENTARY SCHOOL,20 FLORENCE ST,LEEDS,MA,01053,5305,25015,HAMPSHIRE,8000,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
VA MEDICAL CENTER-NURSING HOME CARE UNIT,421 N MAIN ST,LEEDS,MA,01053,9764,25015,HAMPSHIRE,8000,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,75,,,
LINDA MANOR EXTENDED CARE FACILITY,349 HAYDENVILLE RD,LEEDS,MA,01053,9767,25015,HAMPSHIRE,8000,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,114,PREMIER,,
HAMPDEN CO HOUSE CORRECTION-SHERIFF DEPT,627 RANDALL RD,LUDLOW,MA,01056,1085,25013,HAMPDEN,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HAMPDEN COUNTY PRE-RELEASE JAIL,325 ALABAMA ST,LUDLOW,MA,01056,1089,25013,HAMPDEN,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
LUDLOW COMM CTR-RANDALL BOYS-GIRLS CLUB,91 CLAUDIAS WAY,LUDLOW,MA,01056,3101,25013,HAMPDEN,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
LUDLOW COUNCIL ON AGING SENIOR CENTER,37 CHESTNUT ST,LUDLOW,MA,01056,3404,25013,HAMPDEN,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LUDLOW PUBLIC SCHOOL DISTRICT,63 CHESTNUT ST,LUDLOW,MA,01056,3404,25013,HAMPDEN,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
HEALTHSOUTH REHAB HOSPITAL WESTERN MA,14 CHESTNUT PL,LUDLOW,MA,01056,3476,25013,HAMPDEN,1122,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,1001 TO 2000,,Foodbuy,,
MONSON SCHOOL DISTRICT,PO BOX 159,MONSON,MA,01057,0159,25013,HAMPDEN,1122,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
MONSON COUNCIL ON AGING SENIOR CENTER,106 MAIN ST,MONSON,MA,01057,1318,25013,HAMPDEN,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NORTHAMPTON REHAB AND NURSING CTR,737 BRIDGE RD,NORTHAMPTON,MA,01060,1526,25015,HAMPSHIRE,8000,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,138,,,
SMITH VOC AND AGRICULTURAL HIGH SCHOOL,80 LOCUST ST,NORTHAMPTON,MA,01060,2052,25015,HAMPSHIRE,8000,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,
CLARKE SCHOOL FOR THE DEAF,47 ROUND HILL RD,NORTHAMPTON,MA,01060,2123,25015,HAMPSHIRE,8000,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CALVIN COOLIDGE NURSING AND REHAB CENTER,548 ELM ST,NORTHAMPTON,MA,01060,2832,25015,HAMPSHIRE,8000,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,102,PREMIER,,
PEOPLES INSTITUTE AFTER SCHOOL PROGRAM,38 GOTHIC ST,NORTHAMPTON,MA,01060,3018,25015,HAMPSHIRE,8000,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
HAIRSTON HOUSE SUBSTANCE ABUSE TREATMENT,25 GRAVES AVE,NORTHAMPTON,MA,01060,3293,25015,HAMPSHIRE,8000,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NORTH CTR FOR CHILDREN/FAMILIES,78 POMEROY TER,NORTHAMPTON,MA,01060,3378,25015,HAMPSHIRE,8000,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SERVICENET INC-SUBSTANCE ABUSE TREATMENT,129 KING ST,NORTHAMPTON,MA,01060,3258,25015,HAMPSHIRE,8000,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
COOLEY DICKINSON HOSPITAL,PO BOX 5001,NORTHAMPTON,MA,01061,5001,25015,HAMPSHIRE,,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,84.1,Novation,VHA Inc,"30,687"
HAMPSHIRE COUNTY JAIL-SHERIFF DEPARTMENT,PO BOX 7000,NORTHAMPTON,MA,01061,7000,25015,HAMPSHIRE,,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CDH-OUTPATIENT BEHAVORIAL HLTH SVCS-AODA,10 MAIN ST,FLORENCE,MA,01062,3158,25015,HAMPSHIRE,8000,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SMITH COLLEGE,98 GREEN ST,NORTHAMPTON,MA,01063,0001,25015,HAMPSHIRE,,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,SELF-OPERATED,PRIVATE,>2000,,,,
WING MEMORIAL HOSPITAL AND MEDICAL CTR,40 WRIGHT ST,PALMER,MA,01069,1138,25013,HAMPDEN,1122,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
PALMER HOUSE CARE CENTER,250 SHEARER ST,PALMER,MA,01069,1428,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,58,,,
PALMER COA SENIOR CENTER,1029 CENTRAL ST,PALMER,MA,01069,1701,25013,HAMPDEN,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
PALMER PUBLIC SCHOOL DISTRICT,24 CONVERSE ST,PALMER,MA,01069,1786,25013,HAMPDEN,1122,SCHOOL DISTRICTS,251-500,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
MOUNT HOLYOKE COLLEGE,50 COLLEGE ST,SOUTH HADLEY,MA,01075,1423,25015,HAMPSHIRE,8000,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,SELF-OPERATED,PRIVATE,>2000,,,,
SOUTH HADLEY CNCL ON AG SENIOR CENTER,45 DAYTON ST,SOUTH HADLEY,MA,01075,1924,25015,HAMPSHIRE,8000,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WINGATE AT SOUTH HADLEY,573 GRANBY RD,SOUTH HADLEY,MA,01075,2122,25015,HAMPSHIRE,8000,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,119,,,
OPEN ARMS CHILDCARE CENTER,PO BOX 1107,SOUTHWICK,MA,01077,1107,25013,HAMPDEN,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
SOUTHWICK-TOLLAND REGIONAL SCHOOL DIST,86 POWDER MILL RD,SOUTHWICK,MA,01077,9257,25013,HAMPDEN,1122,SCHOOL DISTRICTS,251-500,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
WARE SCHOOL DISTRICT,PO BOX 240,WARE,MA,01082,0240,25015,HAMPSHIRE,8000,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
WARE SENIOR CENTER,11 CHURCH ST,WARE,MA,01082,1239,25015,HAMPSHIRE,8000,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
VALLEY HUMAN SERVICES-SUBSTANCE ABUSE,96 SOUTH ST,WARE,MA,01082,1616,25015,HAMPSHIRE,8000,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BAYSTATE MARY LANE HOSPITAL,85 SOUTH ST,WARE,MA,01082,1625,25015,HAMPSHIRE,8000,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,
QUABOAG REGIONAL SCHOOL DISTRICT,PO BOX 1538,WARREN,MA,01083,1538,25027,WORCESTER,1122,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
COMMUNITY HEALTH CARE METHADONE SVCS,125 N ELM ST,WESTFIELD,MA,01085,1643,25013,HAMPDEN,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WESTFIELD YOUTH SERVICE DETENTION CENTER,51 E MOUNTAIN RD,WESTFIELD,MA,01085,1801,25013,HAMPDEN,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,
WESTERN MASSACHUSETTS HOSPITAL,91 E MOUNTAIN RD,WESTFIELD,MA,01085,1801,25013,HAMPDEN,1122,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,
GOVERNORS CENTER,66 BROAD ST,WESTFIELD,MA,01085,2927,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,1001 TO 2000,89,Foodbuy,,
WESTFIELD PUBLIC SCHOOL DISTRICT,22 ASHLEY ST,WESTFIELD,MA,01085,3856,25013,HAMPDEN,1122,SCHOOL DISTRICTS,751-999,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,
HARBORSIDE HEALTHCARE WESTFIELD,60 E SILVER ST,WESTFIELD,MA,01085,4434,25013,HAMPDEN,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,,,,
