NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,market_segment2,units,EMPLOYEES,years_in_business,annual_sales
MARIAN'S MINI MART,COVINGTON,KY,41011,3449,21117,KENTON,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
WILDCAT GROCERY & VIDEO,FLATGAP,KY,41219,9067,21115,JOHNSON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
PONY KEG EXPRESS,COVINGTON,KY,41011,1002,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
YOUNGS ORIENTAL GROCERY,VERNON ROCKVILLE,CT,06066,4738,09013,TOLLAND,3280,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
COLLISTA GROCERY,HAGERHILL,KY,41222,,,,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
COUNTRY ROAD MART,HAGERHILL,KY,41222,8917,21115,JOHNSON,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
DAVIS PRODUCE,HAGERHILL,KY,41222,8663,21115,JOHNSON,,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
TIENDA MORALES,COVINGTON,KY,41011,3111,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
SAVE ON CIGS,COVINGTON,KY,41011,1204,21117,KENTON,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SAVE-A-LOT,COVINGTON,KY,41011,3330,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
STADIUM LIQUOR STORE,COVINGTON,KY,41011,1307,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
ALDI,ROCKY HILL,CT,06067,1305,09003,HARTFORD,3280,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SUPERVALU,COVINGTON,KY,41011,3318,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
INEZ PUMP N SHOP,INEZ,KY,41224,,21159,MARTIN,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
INEZ SUPER MARKET,INEZ,KY,41224,,21159,MARTIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
K & K CONVENIENCE STORE,INEZ,KY,41224,8376,21159,MARTIN,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
TAPIA'S STORE,COVINGTON,KY,41011,2411,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
SAVE-A-LOT,INEZ,KY,41224,,21159,MARTIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
SPEEDWAY,INEZ,KY,41224,,21159,MARTIN,,GAS STATIONS,501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
WOODBURN MARKET,COVINGTON,KY,41011,2949,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BILL'S FOOD MARKET,COVINGTON,KY,41014,1168,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,2 TO 5 YEARS,"$2,500,001 - $5,000,000"
CONVENIENT FOOD MART,COVINGTON,KY,41014,1659,21117,KENTON,1642,CONVENIENCE STORES,251-500 UNITS,1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
DELMAR FOODS & CARRY OUT,COVINGTON,KY,41014,1465,21117,KENTON,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
J-ONE MARKET,COVINGTON,KY,41014,1208,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
KATHY'S CARRYOUT,COVINGTON,KY,41014,1306,21117,KENTON,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
MAIN MART,COVINGTON,KY,41014,1371,21117,KENTON,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SOOK INC,COVINGTON,KY,41014,1563,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BOB'S FOOD SHOP,COVINGTON,KY,41015,1042,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BP,LOUISA,KY,41230,7551,21127,LAWRENCE,,GAS STATIONS,501+ UNITS,1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
B & L OF KENTUCKY INC,LOUISA,KY,41230,6388,21127,LAWRENCE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BIG Y SUPERMARKET,ROCKY HILL,CT,06067,1825,09003,HARTFORD,3280,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
CLARKS PUMP N SHOP,LOUISA,KY,41230,7919,21127,LAWRENCE,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
FRANK'S FAMILY MARKET,COVINGTON,KY,41015,1149,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
GOOD SPIRITS WINE & TOBACCO,TAYLOR MILL,KY,41015,2053,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
GROCERY BAG,TAYLOR MILL,KY,41015,2271,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
FOOD CITY,LOUISA,KY,41230,1503,21127,LAWRENCE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
LATONIA LIQUORS INC,COVINGTON,KY,41015,1232,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"$500,001 - $1,000,000"
HOLT'S MARKET,LOUISA,KY,41230,7589,21127,LAWRENCE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
K VA T FOOD STORES INC,LOUISA,KY,41230,1500,21127,LAWRENCE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),UNKNOWN,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
CENTURY WINES & LIQUORS,ROCKY HILL,CT,06067,3008,09003,HARTFORD,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
REMKE MARKETS,TAYLOR MILL,KY,41015,2053,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SUPREME NUT & CANDY CO,COVINGTON,KY,41015,1706,21117,KENTON,1642,CONFECTIONERS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
SAVE-A-LOT,LOUISA,KY,41230,6248,21127,LAWRENCE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
VISALIA MARKET,COVINGTON,KY,41015,9343,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
WENTWORTH'S MARKET,COVINGTON,KY,41015,1856,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
COUNTRY CORNER MARKET,LUDLOW,KY,41016,1380,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
DAIRY MART CONVENIENCE STORE,LUDLOW,KY,41016,1428,21117,KENTON,1642,CONVENIENCE STORES,101-250 UNITS,1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
HERM'S GROCERY & MEATS,LUDLOW,KY,41016,1391,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
FAMILY FOODS,LOWMANSVILLE,KY,41232,9038,21127,LAWRENCE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
FARMER'S ONE STOP LLC,LOWMANSVILLE,KY,41232,9064,21127,LAWRENCE,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
R & R GROCERY & DELI,LUDLOW,KY,41016,1427,21117,KENTON,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,">$5,000,000"
REEVES PRODUCE LLC,LUDLOW,KY,41016,1304,21117,KENTON,1642,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,UNCODED
RIVERSIDE MARKET PLACE,LUDLOW,KY,41016,1520,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
B J KELSEY LIQUORS,OIL SPRINGS,KY,41238,,,,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
OIL SPRINGS SUPERETTE,OIL SPRINGS,KY,41238,9130,21115,JOHNSON,,MEAT MARKET,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
BREWBERRY COFFEE CO,FORT MITCHELL,KY,41017,3010,21117,KENTON,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000"
COST CUTTER WAREHOUSE LIQUORS,ROCKY HILL,CT,06067,2502,09003,HARTFORD,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
B MART NORTH INC,NIPPA,KY,41240,8516,21115,JOHNSON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
DANIEL GROCERY,PAINTSVILLE,KY,41240,,21115,JOHNSON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
CORK 'N BOTTLE,CRESCENT SPRINGS,KY,41017,1635,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
FAMILY MART,PAINTSVILLE,KY,41240,1185,21115,JOHNSON,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
FOOD CITY,PAINTSVILLE,KY,41240,1804,21115,JOHNSON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
DATA TRADING INC,ROCKY HILL,CT,06067,1842,09003,HARTFORD,3280,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BLACK BARN PRODUCE INC LLC,RIVER,KY,41254,8710,21115,JOHNSON,,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
NUT HUT,VILLA HILLS,KY,41017,1114,21117,KENTON,1642,CONFECTIONERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
GARY'S MEATS,EDGEWOOD,KY,41017,3235,21117,KENTON,1642,MEAT MARKET,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
IGA,PAINTSVILLE,KY,41240,8649,21115,JOHNSON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SAVE-A-LOT,PAINTSVILLE,KY,41240,1803,21115,JOHNSON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
TNT2,PAINTSVILLE,KY,41240,1168,21115,JOHNSON,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
JAVA JOINT,CRESCENT SPRINGS,KY,41017,5314,21117,KENTON,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
KROGER,COVINGTON,KY,41017,2971,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
DAVIS FLORIENE GROCERY,SITKA,KY,41255,9026,21115,JOHNSON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
KOUNTRY KORNER,SITKA,KY,41255,9013,21115,JOHNSON,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
APPCO 81,STAFFORDSVILLE,KY,41256,9072,21115,JOHNSON,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
OMAHA STEAKS STORE,CRESTVIEW HILLS,KY,41017,2412,21117,KENTON,1642,MEAT MARKET,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
MOUNTAIN AQUA,TOMAHAWK,KY,41262,,,,,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
GRAMER'S MEAT & PRODUCE,ERLANGER,KY,41018,2402,21117,KENTON,1642,MEAT MARKET,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
PERK STATION COFFEE & TEA CO,CRESCENT SPRINGS,KY,41017,1622,21117,KENTON,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
REMKE MARKETS,FORT MITCHELL,KY,41017,3097,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
REMKE MARKETS,FORT MITCHELL,KY,41017,2704,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
HALE'S SHAD,ROCKY HILL,CT,06067,1602,09003,HARTFORD,3280,FISH & SEAFOOD MARKET,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000"
TURFWAY LIQUORS,COVINGTON,KY,41017,2114,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
UNITED DAIRY FARMERS,COVINGTON,KY,41017,9657,21117,KENTON,1642,CONVENIENCE STORES,101-250 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
ALDI,ERLANGER,KY,41018,1820,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
FAMILY FOODS OF TOMAHAWK,TOMAHAWK,KY,41262,8852,21159,MARTIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
INTERSTATE PACKAGE STORE,ROCKY HILL,CT,06067,1305,09003,HARTFORD,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
CIRCLE K,ERLANGER,KY,41018,2475,21117,KENTON,1642,GAS STATIONS,501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
DOLE FRESH VEGETABLES,ERLANGER,KY,41018,1011,21117,KENTON,1642,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
DUSING BROS ICE MANUFACTURING CO INC,ELSMERE,KY,41018,1805,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
ELSMERE MARKET,ELSMERE,KY,41018,2409,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
ETHIOPA MARKET,ELSMERE,KY,41018,2130,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"$1,000,001 - $2,500,000"
GOOD SPIRITS WINE & TOBACCO,ERLANGER,KY,41018,2840,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
KROGER,ERLANGER,KY,41018,1850,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
L & L WATER,ERLANGER,KY,41018,1576,21117,KENTON,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
REMKE MARKETS,ERLANGER,KY,41018,1003,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
REMKE MARKETS,ELSMERE,KY,41018,2840,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
